City,month_depart,minPrice,maxPrice,meanPrice
Funchal,6,45.21,47.9,46.494
Nápoles,5,46.79,46.79,46.79
Nice,3,46.79,46.91,46.830000000000005
Marselha,4,38.63,56.19,47.41
Bordéus,4,32.13,54.35,47.615
Palma de Maiorca,4,44.15,51.49,47.69
Marselha,3,38.6,56.89,47.775
Bilbau,5,33.1,62.52,47.785000000000004
Bristol,4,47.9,47.9,47.9
Agadir,2,26.61,292.44,48.0805
Nantes,3,48.71,48.71,48.71
Madrid,6,46.98,52.72,48.713
Las Palmas,2,24.78,88.27,48.849333333333334
Bordéus,3,36.79,52.42,48.971428571428575
Dole,3,46.79,60.66,49.85818181818181
Las Palmas,5,48.63,55.07,49.966
Luqa,1,46.88,53.24,50.199999999999996
Valência,1,50.55,50.55,50.55
Genebra,3,35.85,92.89,50.72533333333333
Paris,6,49.74,52.51,50.922
Ponta Delgada,3,48.65,54.26,51.082
Málaga,4,49.63,53.24,51.43166666666667
Milão,4,50.58,52.3,51.44
Bérgamo,4,50.58,52.3,51.44
Estrasburgo,1,52.42,52.42,52.42
Toulouse,6,53.42,53.42,53.419999999999995
Alicante,5,53.42,53.42,53.42
Bordéus,2,36.7,122.5,54.10999999999999
Roma,3,48.71,67.25,54.17727272727273
Rennes,1,54.23,54.25,54.24333333333333
Lajes,4,45.88,75.53,54.605714285714285
Cagliari,3,55.15,55.15,55.15
Bergerac,7,55.18,55.18,55.18
Bruxelas,3,49.55,70.68,55.29210526315789
Roma,2,48.63,78.17,55.395714285714284
Palma de Maiorca,5,47.79,59.74,55.75666666666667
Bérgamo,6,48.9,60.8,55.902
Alicante,2,40.39,102.76,57.124545454545455
Zurique,3,43.2,91.79,57.13625
Edimburgo,2,48.63,143.46,57.85090909090909
Sevilha,4,58.75,58.85,58.8
Ibiza,3,55.07,63.34,58.83625
Lajes,1,36.77,81.06,58.915000000000006
Lyon,6,59.78,59.78,59.78
Nápoles,9,56.07,78.94,60.235
Lajes,3,42.23,80.88,60.65599999999999
Lyon,3,38.6,82.77,60.77846153846154
Genebra,5,60.8,60.8,60.8
Carcassonne,4,33.03,147.11,61.575
Valência,2,50.55,116.77,62.49428571428571
Alicante,3,62.52,62.52,62.52
Toulouse,2,32.13,101.32,62.63625
Ibiza,4,36.72,93.95,62.7575
Dublin,4,63.34,63.34,63.34
Marselha,2,50.49,100.22,63.38545454545454
Faro,6,56.1,71.97,63.91916666666666
Marraquexe,3,55.99,83.49,64.11083333333333
Lisboa,11,64.23,64.38,64.28
Birmingham,2,33.03,76.32,64.36
Basileia,6,64.48,64.59,64.51666666666667
Cagliari,5,57.8,78.17,64.58500000000001
Sevilha,5,61.58,77.37,65.77166666666666
Châlons-en-Champagne,9,65.17,66.32,66.08666666666666
Manchester,4,53.22,85.53,66.15
Tours,5,66.22,66.22,66.22
Genebra,6,52.59,71.72,66.22333333333334
Edimburgo,3,67.09,67.09,67.09
Luqa,3,53.34,74.48,68.018
Genebra,2,60.66,80.74,68.03
Sevilha,3,55.27,84.61,68.30727272727273
Rabate,3,64.48,80.01,68.36250000000001
Marselha,6,56.42,85.67,68.804
Bucareste,3,49.66,78.02,69.10052631578947
Bilbau,4,62.39,73.69,69.24363636363637
Liverpool,4,70.0,70.01,70.005
Barcelona,6,64.48,76.77,70.579
Luxemburgo,6,67.25,73.07,70.67
Carcassonne,8,70.77,70.93,70.89666666666666
Alicante,4,63.34,73.57,71.122
Varsóvia,3,59.78,111.02,71.48666666666666
Nantes,5,71.57,71.73,71.60499999999999
Lisboa,1,66.17,77.1,71.63499999999999
Lisboa,2,65.26,76.28,71.668
Santa Cruz de Tenerife,1,50.66,113.77,71.69666666666666
Granadilla de Abona,1,50.66,113.77,71.69666666666666
Basileia,3,70.68,77.1,72.036
Verona,6,60.66,120.23,72.14999999999999
Ibiza,5,68.93,75.4,72.20166666666667
Varsóvia,1,72.48,72.51,72.495
Valência,4,70.65,73.43,72.49833333333333
Lisboa,9,72.51,72.51,72.51
Nice,4,72.51,72.51,72.51
Tours,2,52.39,108.52,72.6975
Veneza,3,67.9,84.61,73.78384615384616
Sófia,3,70.77,74.61,73.842
Châlons-en-Champagne,5,65.3,82.61,73.955
Frankfurt,3,59.74,114.01,73.955
Dublin,1,66.06,106.61,74.202
Maastricht,3,71.85,75.53,74.21833333333333
Londres,6,60.9,87.65,74.247
Copenhaga,2,61.61,84.74,74.38625
Lisboa,5,74.49,74.49,74.49
Lisboa,7,74.61,74.61,74.61
Málaga,6,67.25,83.24,74.705
Bilbau,3,75.53,75.53,75.53
Riga,2,72.51,103.92,75.55692307692308
Riga,3,72.65,78.3,75.75625000000001
Copenhaga,3,64.23,128.04,75.92090909090909
Londres,4,76.33,76.33,76.33
Palma de Maiorca,2,76.45,76.45,76.45
Ibiza,7,69.73,89.92,76.51666666666667
Ponta Delgada,6,72.77,82.9,76.659
Alicante,6,66.32,93.03,76.87266666666666
Lajes,5,43.13,144.38,76.88
Nuremberga,3,71.57,85.53,76.982
Lublin,3,77.07,77.25,77.13
Copenhaga,1,77.37,77.37,77.37
Frankfurt,2,59.78,87.2,77.785
Châlons-en-Champagne,7,77.99,77.99,77.99
Lisboa,8,74.32,81.83,78.085
Basileia,5,78.12,78.15,78.1275
Birmingham,5,78.17,78.17,78.17
Dublin,5,75.36,86.59,78.17750000000001
Lyon,2,55.27,132.34,79.9
Billund,4,79.96,80.13,79.99333333333333
Sevilha,7,80.01,80.01,80.01
Nice,9,78.12,83.82,80.02
Breslavia,2,69.08,96.56,80.625625
Châlons-en-Champagne,6,64.48,86.94,80.72384615384615
Nápoles,10,80.74,80.74,80.74
Sevilha,2,55.17,129.67,80.7525
Ibiza,9,71.73,99.09,80.85000000000001
Bari,3,80.88,80.88,80.88
Bruxelas,2,59.87,119.55,80.915
Granadilla de Abona,2,45.04,411.71,80.9530769230769
Nantes,2,57.11,114.96,81.08142857142856
Luqa,2,48.65,207.84,82.39666666666666
Valência,7,82.61,82.75,82.68
Cork,3,82.72,82.9,82.87
Lille,5,83.49,83.49,83.49
Eindhoven,3,59.87,105.76,83.63142857142859
Marselha,10,83.67,83.67,83.67
Zurique,6,75.66,107.03,83.762
Varsóvia,2,78.94,96.71,83.76599999999999
Estocolmo,1,83.83,83.83,83.83
Santa Cruz de Tenerife,2,45.04,276.63,84.27214285714285
Viena,3,63.34,147.14,84.276875
Marraquexe,5,84.55,84.59,84.57
Karlsruhe,4,84.55,84.75,84.71
Palma de Maiorca,6,60.9,139.79,84.73818181818181
Bari,10,84.74,84.74,84.74
Bari,2,57.11,100.22,85.41181818181818
Birmingham,6,81.98,93.04,85.42
Bristol,2,86.25,88.43,86.80333333333334
Las Palmas,6,81.98,119.48,86.82000000000001
Dublin,10,87.2,87.2,87.2
Palermo,3,59.77,105.92,87.48285714285714
Nantes,1,87.5,87.5,87.5
Marraquexe,2,55.05,175.65,87.51
Valência,6,79.35,100.57,88.14333333333333
Las Palmas,3,88.42,88.42,88.42
La Rochelle,4,83.53,117.72,88.49428571428572
Vigo,6,81.06,100.24,88.73949999999999
Dublin,3,68.81,128.95,88.86666666666667
Málaga,8,74.45,113.77,89.01
Jerez de la Frontera,3,89.0,89.21,89.03666666666668
Sófia,2,89.03,89.19,89.15
Eindhoven,2,61.58,154.4,89.41176470588235
Budapeste,3,67.14,138.87,89.541
Ibiza,6,72.89,106.36,89.765
Dole,1,72.77,101.32,89.856
Verona,7,76.33,100.05,90.554
Mahón,5,75.24,102.8,90.762
Manchester,5,69.88,174.32,90.768
Agadir,6,72.77,125.27,91.0190909090909
Porto Santo,7,84.75,102.08,91.72944444444445
Estocolmo,3,78.29,101.88,91.83615384615385
Pisa,3,91.91,91.91,91.91
Budapeste,2,76.28,109.23,92.1776923076923
